question,answer
"What is the capital of Australia?","Canberra"
"What is the capital of Brazil?","Brasília"
"What is the capital of Argentina?","Buenos Aires"
"What is the capital of Russia?","Moscow"
"What is the capital of China?","Beijing"
"What is the capital of India?","New Delhi"
"What is the capital of Portugal?","Lisbon"
"What is the capital of Greece?","Athens"
"What is the capital of Egypt?","Cairo"
"What is the capital of Turkey?","Ankara"
"What is the capital of Mexico?","Mexico City"
"Who painted the Mona Lisa?","Leonardo da Vinci"
"Who painted The Starry Night?","Vincent van Gogh"
"Who painted Guernica?","Pablo Picasso"
"Who wrote the play Hamlet?","William Shakespeare"
"Who wrote The Divine Comedy?","Dante Alighieri"
"Who wrote War and Peace?","Leo Tolstoy"
"Who wrote One Hundred Years of Solitude?","Gabriel García Márquez"
"Who wrote Don Quixote?","Miguel de Cervantes"
"Who wrote The Stranger?","Albert Camus"
"Who developed the theory of relativity?","Albert Einstein"
"Who proposed the law of universal gravitation?","Isaac Newton"
"Who is known as the father of modern physics?","Albert Einstein"
"Who proposed the heliocentric model of the Solar System?","Nicolaus Copernicus"
"Who discovered penicillin?","Alexander Fleming"
"Who is known as the father of psychoanalysis?","Sigmund Freud"
"Who proposed the theory of evolution by natural selection?","Charles Darwin"
"In which year did World War I begin?","1914"
"In which year did World War I end?","1918"
"In which year did World War II begin?","1939"
"In which year did World War II end?","1945"
"In which year did the French Revolution begin?","1789"
"In which year did the Russian Revolution take place?","1917"
"In which year did the Berlin Wall fall?","1989"
"In which year did humans first land on the Moon?","1969"
"In which year was the United Nations founded?","1945"
"In which year was the Euro introduced as physical currency?","2002"
"In which year did the Titanic sink?","1912"
"What is the largest planet in the Solar System?","Jupiter"
"What is the smallest planet in the Solar System?","Mercury"
"What is the closest planet to the Sun?","Mercury"
"What is the farthest planet from the Sun?","Neptune"
"What is the fourth planet from the Sun?","Mars"
"What is the chemical symbol for water?","H2O"
"What is the chemical symbol for sodium?","Na"
"What is the chemical symbol for gold?","Au"
"What is the chemical symbol for iron?","Fe"
"What is the chemical symbol for oxygen?","O"
"What is the chemical symbol for carbon dioxide?","CO2"
"What is the boiling point of water at sea level in Celsius?","100"
"What is the freezing point of water in Celsius?","0"
"How many continents are there on Earth?","7"
"How many planets are there in the Solar System?","8"
"How many degrees are there in a right angle?","90"
"How many degrees are there in a full circle?","360"
"How many days are there in a leap year?","366"
"How many days are there in a non-leap year?","365"
"How many minutes are there in one hour?","60"
"How many seconds are there in one minute?","60"
"What is the tallest mountain on Earth?","Mount Everest"
"What is the longest river in the world?","Nile"
"What is the largest ocean on Earth?","Pacific Ocean"
"What is the largest desert in the world?","Sahara"
"What is the largest island in the world?","Greenland"
"What is the longest river in Europe?","Volga"
"What is the highest mountain in Europe?","Mont Blanc"
"What is the currency of the United States?","US dollar"
"What is the currency of the United Kingdom?","Pound sterling"
"What is the currency of Japan?","Yen"
"What is the currency of the Eurozone?","Euro"
"What is the currency of Switzerland?","Swiss franc"
"What is the official language of Brazil?","Portuguese"
"What is the official language of Egypt?","Arabic"
"What is the official language of Mexico?","Spanish"
"What is the official language of Germany?","German"
"What is the official language of Russia?","Russian"
"Which gas do humans primarily exhale?","Carbon dioxide"
"Which gas do humans primarily inhale?","Oxygen"
"What is the main gas in Earth's atmosphere?","Nitrogen"
"What is the hardest natural substance on Earth?","Diamond"
"What is the largest internal organ in the human body?","Liver"
"What is the smallest bone in the human body?","Stapes"
"How many chambers does the human heart have?","4"
"How many teeth does a typical adult human have?","32"
"How many lungs does a human have?","2"
"In which country is the Colosseum located?","Italy"
"In which city is the Eiffel Tower located?","Paris"
"In which country is the Taj Mahal located?","India"
"In which country is Machu Picchu located?","Peru"
"In which city is the Statue of Liberty located?","New York"
"In which city is the Louvre Museum located?","Paris"
"In which city is the Acropolis located?","Athens"
"Which continent is Australia in?","Australia"
"Which continent is Brazil in?","South America"
"Which continent is Egypt in?","Africa"
"Which continent is Japan in?","Asia"
"Which continent is Germany in?","Europe"
"What is the largest country in the world by area?","Russia"
"What is the smallest country in the world by area?","Vatican City"
"What is the most spoken native language in the world?","Mandarin Chinese"
"What is the most spoken language in the world including second-language speakers?","English"
"What is the most widely practiced religion in the world?","Christianity"
"What is the second most widely practiced religion in the world?","Islam"
"What is the main religion in India?","Hinduism"
"What is the main religion in Thailand?","Buddhism"
"Who was the first man in space?","Yuri Gagarin"
"Who was the first woman in space?","Valentina Tereshkova"
"Who was the first man to walk on the Moon?","Neil Armstrong"
"Who was the first President of the United States?","George Washington"
"Who was the 16th President of the United States?","Abraham Lincoln"
"Who was the British Prime Minister during most of World War II?","Winston Churchill"
"Which empire was ruled by Julius Caesar?","Roman Empire"
"Which empire was ruled by Genghis Khan?","Mongol Empire"
"Which city was the capital of the Byzantine Empire?","Constantinople"
"When was Napoleon Bonaparte born?","1769"
"Who discovered America?","Christopher Columbus"
"What is the capital of France?","Paris"
"What is the capital of Italy?","Rome"
"What is the capital of Spain?","Madrid"
"What is the capital of Germany?","Berlin"
"What is the capital of Japan?","Tokyo"
"What is the capital of the United Kingdom?","London"
"What is the capital of Canada?","Ottawa"